Business_Name,Parameter,Value,Notes
Car_Dealership,Starting_Capital_USD,"$170,000.00",Initial investment amount
Car_Dealership,Business_Size,Small,Small/Medium/Large_Enterprise
Car_Dealership,Market_Position,Established,Startup/Established/Market_Leader
Car_Dealership,Risk_Tolerance,Aggressive(10-20%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Car_Dealership,Volatility_Level,High,Low/Medium/High
Car_Dealership,Maximum_Drawdown,18%,Maximum acceptable loss percentage
Car_Dealership,Hedge_Instruments,Insurance/Diversification,Options/Futures/Diversification/Insurance
Car_Dealership,Hedge_Ratio,35%,Percentage of exposure hedged
Car_Dealership,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Car_Dealership,Revenue_Model,Cyclical,Seasonal/Cyclical/Growth/Defensive
Car_Dealership,Key_Drivers,"salvage import volume, FX rate (EUR/USD), consumer credit access, fuel prices, port clearance costs",Main factors affecting performance
Car_Dealership,Market_Sensitivity,"High — tied to FX volatility, purchasing power, and import tariff policy",Sensitivity to economic conditions
Car_Dealership,Annual_Return_Goal,197.00%,Realistic annual return target
Car_Dealership,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Car_Dealership,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Car_Dealership,Monthly_Running_Cost_Pct,2.50%,Monthly platform fee paid directly by client outside broker account. Rate: 2.5% of starting capital (Small tier). Does not affect trading capital.
Car_Dealership,Monthly_Running_Cost_USD,"$4,250.00",Starting capital × 2.5% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Car_Dealership,Annual_Running_Cost_USD,"$51,000.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.5% × 12.
Car_Dealership,Running_Cost_Breakdown,Win Rate: 52.5% | Total Trades: 499 | Wins: 261 | Losses: 238 | Avg Profit/Trade: 17.51% | Avg Loss/Trade: 12.59%,Trade performance metrics driving the Gross ROI calculation for Year 1
Car_Dealership,Net_Capital_After_Year1_Cost,"$183,600.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 38.00% ($64,600.00) | Annual Fee: $51,000.00"
Car_Dealership,Break_Even_Return_Required,30.00%,Annual platform fee ÷ starting capital. Client must achieve at least 30.00% gross return to cover platform costs.
,,,
Food_Company,Starting_Capital_USD,"$67,000.00",Initial investment amount
Food_Company,Business_Size,Small,Small/Medium/Large_Enterprise
Food_Company,Market_Position,Startup,Startup/Established/Market_Leader
Food_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Food_Company,Volatility_Level,Medium,Low/Medium/High
Food_Company,Maximum_Drawdown,12%,Maximum acceptable loss percentage
Food_Company,Hedge_Instruments,Diversification/Insurance,Options/Futures/Diversification/Insurance
Food_Company,Hedge_Ratio,40%,Percentage of exposure hedged
Food_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Food_Company,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Food_Company,Key_Drivers,"Raw material costs (flour, palm oil, packaging), logistics, consumer spending power, regulatory health compliance",Main factors affecting performance
Food_Company,Market_Sensitivity,Medium — food demand is inelastic but margins compress under inflation,Sensitivity to economic conditions
Food_Company,Annual_Return_Goal,185.33%,Realistic annual return target
Food_Company,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Food_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Food_Company,Monthly_Running_Cost_Pct,2.50%,Monthly platform fee paid directly by client outside broker account. Rate: 2.5% of starting capital (Small tier). Does not affect trading capital.
Food_Company,Monthly_Running_Cost_USD,"$1,675.00",Starting capital × 2.5% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Food_Company,Annual_Running_Cost_USD,"$20,100.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.5% × 12.
Food_Company,Running_Cost_Breakdown,Win Rate: 56.6% | Total Trades: 381 | Wins: 215 | Losses: 166 | Avg Profit/Trade: 4.62% | Avg Loss/Trade: 3.17%,Trade performance metrics driving the Gross ROI calculation for Year 1
Food_Company,Net_Capital_After_Year1_Cost,"$61,640.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 22.00% ($14,740.00) | Annual Fee: $20,100.00"
Food_Company,Break_Even_Return_Required,30.00%,Annual platform fee ÷ starting capital. Client must achieve at least 30.00% gross return to cover platform costs.
,,,
Crypto_Whale,Starting_Capital_USD,"$2,450,000.00",Initial investment amount
Crypto_Whale,Business_Size,Large,Small/Medium/Large_Enterprise
Crypto_Whale,Market_Position,Market_Leader,Startup/Established/Market_Leader
Crypto_Whale,Risk_Tolerance,Aggressive(10-20%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Crypto_Whale,Volatility_Level,High,Low/Medium/High
Crypto_Whale,Maximum_Drawdown,20%,Maximum acceptable loss percentage
Crypto_Whale,Hedge_Instruments,Futures/Options/Diversification,Options/Futures/Diversification/Insurance
Crypto_Whale,Hedge_Ratio,25%,Percentage of exposure hedged
Crypto_Whale,Hedge_Frequency,Daily,Daily/Weekly/Monthly adjustments
Crypto_Whale,Revenue_Model,Growth,Seasonal/Cyclical/Growth/Defensive
Crypto_Whale,Key_Drivers,"BTC/ETH price cycles, altcoin season timing, on-chain liquidity, regulatory news, institutional inflows",Main factors affecting performance
Crypto_Whale,Market_Sensitivity,Very High — directly correlated to global crypto market sentiment and macroeconomic risk-on/risk-off cycles,Sensitivity to economic conditions
Crypto_Whale,Annual_Return_Goal,269.67%,Realistic annual return target
Crypto_Whale,Growth_Phase,Expansion,Early_Growth/Maturity/Expansion
Crypto_Whale,Exit_Strategy,Periodic_Rebalancing,Long-term_Hold/Periodic_Rebalancing
Crypto_Whale,Monthly_Running_Cost_Pct,1.80%,Monthly platform fee paid directly by client outside broker account. Rate: 1.8% of starting capital (Large tier). Does not affect trading capital.
Crypto_Whale,Monthly_Running_Cost_USD,"$44,100.00",Starting capital × 1.8% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Crypto_Whale,Annual_Running_Cost_USD,"$529,200.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 1.8% × 12.
Crypto_Whale,Running_Cost_Breakdown,Win Rate: 55.2% | Total Trades: 592 | Wins: 326 | Losses: 266 | Avg Profit/Trade: 15.08% | Avg Loss/Trade: 6.19%,Trade performance metrics driving the Gross ROI calculation for Year 1
Crypto_Whale,Net_Capital_After_Year1_Cost,"$1,651,300.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: -11.00% ($-269,500.00) | Annual Fee: $529,200.00"
Crypto_Whale,Break_Even_Return_Required,21.60%,Annual platform fee ÷ starting capital. Client must achieve at least 21.60% gross return to cover platform costs.
,,,
Electronics_Company,Starting_Capital_USD,"$250,000.00",Initial investment amount
Electronics_Company,Business_Size,Medium,Small/Medium/Large_Enterprise
Electronics_Company,Market_Position,Established,Startup/Established/Market_Leader
Electronics_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Electronics_Company,Volatility_Level,Medium,Low/Medium/High
Electronics_Company,Maximum_Drawdown,15%,Maximum acceptable loss percentage
Electronics_Company,Hedge_Instruments,Diversification/Futures,Options/Futures/Diversification/Insurance
Electronics_Company,Hedge_Ratio,30%,Percentage of exposure hedged
Electronics_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Electronics_Company,Revenue_Model,Cyclical,Seasonal/Cyclical/Growth/Defensive
Electronics_Company,Key_Drivers,"USD/EUR FX rate, import duties on electronics, consumer disposable income, brand availability, warranty logistics",Main factors affecting performance
Electronics_Company,Market_Sensitivity,High — discretionary electronics purchases drop sharply during economic downturns and FX spikes,Sensitivity to economic conditions
Electronics_Company,Annual_Return_Goal,201.54%,Realistic annual return target
Electronics_Company,Growth_Phase,Maturity,Early_Growth/Maturity/Expansion
Electronics_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Electronics_Company,Monthly_Running_Cost_Pct,2.10%,Monthly platform fee paid directly by client outside broker account. Rate: 2.1% of starting capital (Medium tier). Does not affect trading capital.
Electronics_Company,Monthly_Running_Cost_USD,"$5,250.00",Starting capital × 2.1% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Electronics_Company,Annual_Running_Cost_USD,"$63,000.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.1% × 12.
Electronics_Company,Running_Cost_Breakdown,Win Rate: 63.3% | Total Trades: 285 | Wins: 180 | Losses: 105 | Avg Profit/Trade: 4.85% | Avg Loss/Trade: 3.55%,Trade performance metrics driving the Gross ROI calculation for Year 1
Electronics_Company,Net_Capital_After_Year1_Cost,"$264,500.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 31.00% ($77,500.00) | Annual Fee: $63,000.00"
Electronics_Company,Break_Even_Return_Required,25.20%,Annual platform fee ÷ starting capital. Client must achieve at least 25.20% gross return to cover platform costs.
,,,
Insurance_Company,Starting_Capital_USD,"$1,170,310.00",Initial investment amount
Insurance_Company,Business_Size,Large,Small/Medium/Large_Enterprise
Insurance_Company,Market_Position,Established,Startup/Established/Market_Leader
Insurance_Company,Risk_Tolerance,Conservative(2-5%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Insurance_Company,Volatility_Level,Low,Low/Medium/High
Insurance_Company,Maximum_Drawdown,8%,Maximum acceptable loss percentage
Insurance_Company,Hedge_Instruments,Diversification/Insurance/Options,Options/Futures/Diversification/Insurance
Insurance_Company,Hedge_Ratio,60%,Percentage of exposure hedged
Insurance_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Insurance_Company,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Insurance_Company,Key_Drivers,"Premium collection rates, claims frequency, regulatory capital requirements (NAICOM), investment yield on float, policyholder retention",Main factors affecting performance
Insurance_Company,Market_Sensitivity,Low-Medium — insurance demand is relatively stable but claims spike during macro shocks,Sensitivity to economic conditions
Insurance_Company,Annual_Return_Goal,199.50%,Realistic annual return target
Insurance_Company,Growth_Phase,Maturity,Early_Growth/Maturity/Expansion
Insurance_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Insurance_Company,Monthly_Running_Cost_Pct,1.80%,Monthly platform fee paid directly by client outside broker account. Rate: 1.8% of starting capital (Large tier). Does not affect trading capital.
Insurance_Company,Monthly_Running_Cost_USD,"$21,065.58",Starting capital × 1.8% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Insurance_Company,Annual_Running_Cost_USD,"$252,786.96",Monthly fee × 12 = annual platform cost. Derived from starting capital × 1.8% × 12.
Insurance_Company,Running_Cost_Breakdown,Win Rate: 64.4% | Total Trades: 203 | Wins: 130 | Losses: 73 | Avg Profit/Trade: 3.05% | Avg Loss/Trade: 2.15%,Trade performance metrics driving the Gross ROI calculation for Year 1
Insurance_Company,Net_Capital_After_Year1_Cost,"$1,116,475.74","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 17.00% ($198,952.70) | Annual Fee: $252,786.96"
Insurance_Company,Break_Even_Return_Required,21.60%,Annual platform fee ÷ starting capital. Client must achieve at least 21.60% gross return to cover platform costs.
,,,
Jewelry_Company,Starting_Capital_USD,"$730,000.00",Initial investment amount
Jewelry_Company,Business_Size,Medium,Small/Medium/Large_Enterprise
Jewelry_Company,Market_Position,Established,Startup/Established/Market_Leader
Jewelry_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Jewelry_Company,Volatility_Level,Medium,Low/Medium/High
Jewelry_Company,Maximum_Drawdown,14%,Maximum acceptable loss percentage
Jewelry_Company,Hedge_Instruments,Futures/Insurance,Options/Futures/Diversification/Insurance
Jewelry_Company,Hedge_Ratio,45%,Percentage of exposure hedged
Jewelry_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Jewelry_Company,Revenue_Model,Seasonal,Seasonal/Cyclical/Growth/Defensive
Jewelry_Company,Key_Drivers,"Gold spot price (XAU), diamond and gemstone supply chain, luxury consumer sentiment, festive/wedding season cycles, FX import costs",Main factors affecting performance
Jewelry_Company,Market_Sensitivity,High — luxury category; demand contracts sharply during recessions but recovers faster than other luxury goods in West Africa,Sensitivity to economic conditions
Jewelry_Company,Annual_Return_Goal,297.97%,Realistic annual return target
Jewelry_Company,Growth_Phase,Expansion,Early_Growth/Maturity/Expansion
Jewelry_Company,Exit_Strategy,Periodic_Rebalancing,Long-term_Hold/Periodic_Rebalancing
Jewelry_Company,Monthly_Running_Cost_Pct,2.10%,Monthly platform fee paid directly by client outside broker account. Rate: 2.1% of starting capital (Medium tier). Does not affect trading capital.
Jewelry_Company,Monthly_Running_Cost_USD,"$15,330.00",Starting capital × 2.1% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Jewelry_Company,Annual_Running_Cost_USD,"$183,960.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.1% × 12.
Jewelry_Company,Running_Cost_Breakdown,Win Rate: 61.1% | Total Trades: 311 | Wins: 190 | Losses: 121 | Avg Profit/Trade: 4.56% | Avg Loss/Trade: 3.88%,Trade performance metrics driving the Gross ROI calculation for Year 1
Jewelry_Company,Net_Capital_After_Year1_Cost,"$494,940.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: -7.00% ($-51,100.00) | Annual Fee: $183,960.00"
Jewelry_Company,Break_Even_Return_Required,25.20%,Annual platform fee ÷ starting capital. Client must achieve at least 25.20% gross return to cover platform costs.
,,,
Energy_Power_Company,Starting_Capital_USD,"$3,500,000.00",Initial investment amount
Energy_Power_Company,Business_Size,Large,Small/Medium/Large_Enterprise
Energy_Power_Company,Market_Position,Market_Leader,Startup/Established/Market_Leader
Energy_Power_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Energy_Power_Company,Volatility_Level,Medium,Low/Medium/High
Energy_Power_Company,Maximum_Drawdown,12%,Maximum acceptable loss percentage
Energy_Power_Company,Hedge_Instruments,Futures/Options/Diversification,Options/Futures/Diversification/Insurance
Energy_Power_Company,Hedge_Ratio,55%,Percentage of exposure hedged
Energy_Power_Company,Hedge_Frequency,Weekly,Daily/Weekly/Monthly adjustments
Energy_Power_Company,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Energy_Power_Company,Key_Drivers,"Crude oil & gas price, NERC regulatory environment, grid infrastructure reliability, power purchase agreement (PPA) terms, FX cost of equipment imports",Main factors affecting performance
Energy_Power_Company,Market_Sensitivity,Medium — energy is essential infrastructure but margins are exposed to regulatory pricing caps and FX-denominated equipment costs,Sensitivity to economic conditions
Energy_Power_Company,Annual_Return_Goal,409.38%,Realistic annual return target
Energy_Power_Company,Growth_Phase,Expansion,Early_Growth/Maturity/Expansion
Energy_Power_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Energy_Power_Company,Monthly_Running_Cost_Pct,1.80%,Monthly platform fee paid directly by client outside broker account. Rate: 1.8% of starting capital (Large tier). Does not affect trading capital.
Energy_Power_Company,Monthly_Running_Cost_USD,"$63,000.00",Starting capital × 1.8% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Energy_Power_Company,Annual_Running_Cost_USD,"$756,000.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 1.8% × 12.
Energy_Power_Company,Running_Cost_Breakdown,Win Rate: 59.6% | Total Trades: 331 | Wins: 197 | Losses: 134 | Avg Profit/Trade: 7.14% | Avg Loss/Trade: 3.60%,Trade performance metrics driving the Gross ROI calculation for Year 1
Energy_Power_Company,Net_Capital_After_Year1_Cost,"$4,179,000.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 41.00% ($1,435,000.00) | Annual Fee: $756,000.00"
Energy_Power_Company,Break_Even_Return_Required,21.60%,Annual platform fee ÷ starting capital. Client must achieve at least 21.60% gross return to cover platform costs.
,,,
Logistics_Company,Starting_Capital_USD,"$320,000.00",Initial investment amount
Logistics_Company,Business_Size,Medium,Small/Medium/Large_Enterprise
Logistics_Company,Market_Position,Established,Startup/Established/Market_Leader
Logistics_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Logistics_Company,Volatility_Level,Medium,Low/Medium/High
Logistics_Company,Maximum_Drawdown,13%,Maximum acceptable loss percentage
Logistics_Company,Hedge_Instruments,Insurance/Diversification,Options/Futures/Diversification/Insurance
Logistics_Company,Hedge_Ratio,35%,Percentage of exposure hedged
Logistics_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Logistics_Company,Revenue_Model,Cyclical,Seasonal/Cyclical/Growth/Defensive
Logistics_Company,Key_Drivers,"Fuel prices, road infrastructure quality, e-commerce volume growth, driver availability, vehicle maintenance costs, port congestion at Apapa",Main factors affecting performance
Logistics_Company,Market_Sensitivity,High — fuel costs and FX directly compress logistics margins; highly sensitive to economic activity levels,Sensitivity to economic conditions
Logistics_Company,Annual_Return_Goal,188.75%,Realistic annual return target
Logistics_Company,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Logistics_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Logistics_Company,Monthly_Running_Cost_Pct,2.10%,Monthly platform fee paid directly by client outside broker account. Rate: 2.1% of starting capital (Medium tier). Does not affect trading capital.
Logistics_Company,Monthly_Running_Cost_USD,"$6,720.00",Starting capital × 2.1% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Logistics_Company,Annual_Running_Cost_USD,"$80,640.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.1% × 12.
Logistics_Company,Running_Cost_Breakdown,Win Rate: 60.9% | Total Trades: 283 | Wins: 172 | Losses: 111 | Avg Profit/Trade: 4.19% | Avg Loss/Trade: 4.82%,Trade performance metrics driving the Gross ROI calculation for Year 1
Logistics_Company,Net_Capital_After_Year1_Cost,"$284,160.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 14.00% ($44,800.00) | Annual Fee: $80,640.00"
Logistics_Company,Break_Even_Return_Required,25.20%,Annual platform fee ÷ starting capital. Client must achieve at least 25.20% gross return to cover platform costs.
,,,
Storage_Warehousing,Starting_Capital_USD,"$150,000.00",Initial investment amount
Storage_Warehousing,Business_Size,Small,Small/Medium/Large_Enterprise
Storage_Warehousing,Market_Position,Startup,Startup/Established/Market_Leader
Storage_Warehousing,Risk_Tolerance,Conservative(2-5%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Storage_Warehousing,Volatility_Level,Low,Low/Medium/High
Storage_Warehousing,Maximum_Drawdown,8%,Maximum acceptable loss percentage
Storage_Warehousing,Hedge_Instruments,Insurance/Diversification,Options/Futures/Diversification/Insurance
Storage_Warehousing,Hedge_Ratio,50%,Percentage of exposure hedged
Storage_Warehousing,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Storage_Warehousing,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Storage_Warehousing,Key_Drivers,"Industrial zone rental rates, e-commerce warehousing demand, cold chain investment, inventory financing partnerships, security costs",Main factors affecting performance
Storage_Warehousing,Market_Sensitivity,Low — storage demand is relatively stable; most sensitive to real estate market and industrial activity levels,Sensitivity to economic conditions
Storage_Warehousing,Annual_Return_Goal,171.28%,Realistic annual return target
Storage_Warehousing,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Storage_Warehousing,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Storage_Warehousing,Monthly_Running_Cost_Pct,2.50%,Monthly platform fee paid directly by client outside broker account. Rate: 2.5% of starting capital (Small tier). Does not affect trading capital.
Storage_Warehousing,Monthly_Running_Cost_USD,"$3,750.00",Starting capital × 2.5% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Storage_Warehousing,Annual_Running_Cost_USD,"$45,000.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.5% × 12.
Storage_Warehousing,Running_Cost_Breakdown,Win Rate: 62.5% | Total Trades: 244 | Wins: 152 | Losses: 92 | Avg Profit/Trade: 3.90% | Avg Loss/Trade: 2.95%,Trade performance metrics driving the Gross ROI calculation for Year 1
Storage_Warehousing,Net_Capital_After_Year1_Cost,"$118,500.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 9.00% ($13,500.00) | Annual Fee: $45,000.00"
Storage_Warehousing,Break_Even_Return_Required,30.00%,Annual platform fee ÷ starting capital. Client must achieve at least 30.00% gross return to cover platform costs.
,,,
Freelance_Services,Starting_Capital_USD,"$52,000.00",Initial investment amount
Freelance_Services,Business_Size,Small,Small/Medium/Large_Enterprise
Freelance_Services,Market_Position,Startup,Startup/Established/Market_Leader
Freelance_Services,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Freelance_Services,Volatility_Level,Medium,Low/Medium/High
Freelance_Services,Maximum_Drawdown,10%,Maximum acceptable loss percentage
Freelance_Services,Hedge_Instruments,Diversification/Insurance,Options/Futures/Diversification/Insurance
Freelance_Services,Hedge_Ratio,20%,Percentage of exposure hedged
Freelance_Services,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Freelance_Services,Revenue_Model,Growth,Seasonal/Cyclical/Growth/Defensive
Freelance_Services,Key_Drivers,"Client acquisition rate, project pipeline depth, skills premium (AI/software/design), platform fees (Upwork/Toptal), FX conversion (USD earnings to EUR)",Main factors affecting performance
Freelance_Services,Market_Sensitivity,Medium — global freelance demand is growing but project budgets compress during tech sector downturns,Sensitivity to economic conditions
Freelance_Services,Annual_Return_Goal,219.56%,Realistic annual return target
Freelance_Services,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Freelance_Services,Exit_Strategy,Periodic_Rebalancing,Long-term_Hold/Periodic_Rebalancing
Freelance_Services,Monthly_Running_Cost_Pct,2.50%,Monthly platform fee paid directly by client outside broker account. Rate: 2.5% of starting capital (Small tier). Does not affect trading capital.
Freelance_Services,Monthly_Running_Cost_USD,"$1,300.00",Starting capital × 2.5% monthly rate. Paid directly to platform each month by client. Not deducted from broker account.
Freelance_Services,Annual_Running_Cost_USD,"$15,600.00",Monthly fee × 12 = annual platform cost. Derived from starting capital × 2.5% × 12.
Freelance_Services,Running_Cost_Breakdown,Win Rate: 58.1% | Total Trades: 321 | Wins: 186 | Losses: 135 | Avg Profit/Trade: 4.39% | Avg Loss/Trade: 5.05%,Trade performance metrics driving the Gross ROI calculation for Year 1
Freelance_Services,Net_Capital_After_Year1_Cost,"$50,440.00","Formula: Starting Capital + Gross ROI USD − Annual Platform Fee. Gross ROI: 27.00% ($14,040.00) | Annual Fee: $15,600.00"
Freelance_Services,Break_Even_Return_Required,30.00%,Annual platform fee ÷ starting capital. Client must achieve at least 30.00% gross return to cover platform costs.
,,,
